"mnb_date","ccy_name","ccy_full_name","unit","mnb_rate"
"400",2019-11-25,"ESP","Spanish Peseta",100,NA
"401",2019-11-25,"EUR","Euro",1,335.04
"402",2019-11-25,"FIM","Finnish Markka",1,NA
"403",2019-11-25,"FRF","French Franc",1,NA
"404",2019-11-25,"GBP","Pound Sterling",1,391.9
"405",2019-11-25,"GHP","Ghana Pound",1,NA
"406",2019-11-25,"GRD","Greek Drachma",100,NA
"407",2019-11-25,"HKD","Hong Kong Dollar",1,38.86
"408",2019-11-25,"HRK","Croatian Kuna",1,45.06
"409",2019-11-25,"HUF","Hungarian forint",1,NA
"410",2019-11-25,"IDR","Indonesian Rupiah",100,2.16
"411",2019-11-25,"IEP","Irish Pound",1,NA
"412",2019-11-25,"ILS","Israeli Shekel",1,87.97
"413",2019-11-25,"INR","Indian Rupee",1,4.24
"414",2019-11-25,"ISK","Icelandic Krona",1,2.46
"415",2019-11-25,"ITL","Italian Lira",1000,NA
"416",2019-11-25,"JPY","Japanese Yen",100,279.46
"417",2019-11-25,"KPW","North Korean Won",100,NA
"418",2019-11-25,"KRW","South Korean Won",100,25.85
"419",2019-11-25,"KWD","Kuwaiti Dinar",1,NA
"420",2019-11-25,"LBP","Lebanese Pound",100,NA
"421",2019-11-25,"LTL","Lithuanian litas",1,NA
"422",2019-11-25,"LUF","Luxembourg Franc",100,NA
"423",2019-11-25,"LVL","Latvian lats",1,NA
"424",2019-11-25,"MNT","Mongolian Tugrik",100,NA
"425",2019-11-25,"MXN","Mexican Peso",1,15.71
"426",2019-11-25,"MYR","Malaysian Ringgit",1,72.81
"427",2019-11-25,"NLG","Netherlands Guilder",1,NA
"428",2019-11-25,"NOK","Norwegian Krone",1,33.18
"429",2019-11-25,"NZD","New Zealand Dollar",1,195.22
"430",2019-11-25,"OAL","Alban Lek",100,NA
"431",2019-11-25,"OBL","Bulgarian Lev",100,NA
"432",2019-11-25,"OFR","French Franc",100,NA
"433",2019-11-25,"ORB","Ruble",100,NA
"434",2019-11-25,"PHP","Philippine Peso",1,5.99
"435",2019-11-25,"PKR","Pakistan Rupee",100,NA
"436",2019-11-25,"PLN","Polish Zloty",1,77.93
"437",2019-11-25,"PTE","Portuguese Escudo",100,NA
"438",2019-11-25,"ROL","Romanian Leu",100,NA
"439",2019-11-25,"RON","Romanian New Leu",1,70.16
"440",2019-11-25,"RSD","Serbian Dinar",1,2.85
"441",2019-11-25,"RUB","Russian Rubel",1,4.77
"442",2019-11-25,"SDP","Sudanese pound",1,NA
"443",2019-11-25,"SEK","Swedish Krona",1,31.65
"444",2019-11-25,"SGD","Singapore Dollar",1,222.9
"445",2019-11-25,"SIT","Slovenian Tolar",1,NA
"446",2019-11-25,"SKK","Slovak Koruna",1,NA
"447",2019-11-25,"SUR","New Ruble",100,NA
"448",2019-11-25,"THB","Thai Baht",1,10.07
"449",2019-11-25,"TRY","Turkish Lira",1,53
"450",2019-11-25,"UAH","Ukrainian Hryvnia",1,12.65
"451",2019-11-25,"USD","US Dollar",1,304.22
"452",2019-11-25,"VND","Vietnamese Dong",100,NA
"453",2019-11-25,"XEU","ECU",1,NA
"454",2019-11-25,"XTR","Tr/Cl Ruble",1,NA
"455",2019-11-25,"YUD","Yugoslavian Dinar",1,NA
"456",2019-11-25,"ZAR","South African Rand",1,20.69
"457",2019-11-22,"ATS","Austrian Schilling",1,NA
"458",2019-11-22,"AUD","Australian Dollar",1,205.32
"459",2019-11-22,"AUP","Australian Pound",1,NA
"460",2019-11-22,"BEF","Belgian Franc",100,NA
"461",2019-11-22,"BGL","Bulgarian Lev",100,NA
"462",2019-11-22,"BGN","Bulgarian Lev",1,170.96
"463",2019-11-22,"BRL","Brazilian real",1,72.09
"464",2019-11-22,"CAD","Canadian Dollar",1,227.54
"465",2019-11-22,"CHF","Swiss Franc",1,304.27
"466",2019-11-22,"CNY","Chinese yuan renminbi",1,42.93
"467",2019-11-22,"CSD","Serbian Dinar",1,NA
"468",2019-11-22,"CSK","Czechoslovakian Koruna",100,NA
"469",2019-11-22,"CYN","Chinese yuan",100,NA
"470",2019-11-22,"CZK","Czech Koruna",1,13.1
"471",2019-11-22,"DDM","DDR Mark",100,NA
"472",2019-11-22,"DEM","Deutsche Mark",1,NA
"473",2019-11-22,"DKK","Danish Krone",1,44.74
"474",2019-11-22,"EEK","Estonian kroon",1,NA
"475",2019-11-22,"EGP","Egyptian Pound",1,NA
"476",2019-11-22,"ESP","Spanish Peseta",100,NA
"477",2019-11-22,"EUR","Euro",1,334.36
"478",2019-11-22,"FIM","Finnish Markka",1,NA
